,diff,commit_id,summary,commit_time,files
409,"@@ -0,0 +1,52 @@
",243,,,
410,"@@ -0,0 +1,51 @@
",244,,,
411,"@@ -1,5 +1,6 @@
 package com.arjuna.webservices11.wsaddr;
 
 import com.arjuna.wsc11.messaging.MessageId;
 import com.arjuna.webservices11.wsarj.InstanceIdentifier;
 
@@ -24,7 +25,7 @@ public static MAP createOneWayResponseContext(final MAP map, final String messag
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP responseMap = builder.newMap();
         // ok just calling initializeAsDestination directly fails when the FaultTo/ReplyTo/From
         // contains reference parameter elements. these get installed into the target element extensions
@@ -59,7 +60,7 @@ public static MAP createResponseContext(final MAP map, final String messageID)
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP responseMap = builder.newMap();
         MAPEndpoint epref = map.getReplyTo();
         if (isNoneAddress(epref)) {
@@ -89,7 +90,7 @@ public static MAP createFaultContext(final MAP map, final String messageID)
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP faultMap = builder.newMap();
         // ok just calling initializeAsDestination directly fails when the FaultTo/ReplyTo/From
         // contains reference parameter elements. these get installed into the target element extensions
@@ -129,7 +130,7 @@ public static MAP createRequestContext(final String address, final String messag
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP requestMap = builder.newMap();
         requestMap.setTo(address);
         if (messageID != null) {
@@ -157,7 +158,7 @@ public static MAP createRequestContext(final String address, final String action
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP requestMap = builder.newMap();
         requestMap.setTo(address);
         if (messageID != null) {
@@ -186,7 +187,7 @@ public static MAP createRequestContext(final MAP map, final String messageID)
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP requestMap = builder.newMap();
         // ok just calling initializeAsDestination directly fails when the FaultTo/ReplyTo/From
         // contains reference parameter elements. these get installed into the target element extensions
@@ -223,7 +224,7 @@ public static MAP createNotificationContext(final String messageID)
     {
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         final MAP requestMap = builder.newMap();
         requestMap.setMessageID (messageID);
         requestMap.setAction("""");
@@ -241,7 +242,6 @@ public static void installActionMessageID(MAP map, final String action, final St
 
         // create this each time so it uses the current thread classloader
         // this allows the builder class to be redefined via a property
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         map.setMessageID(messageID);
         map.setAction(action);
     }
@@ -283,15 +283,15 @@ public static void installCallerProperties(MAP map, MAP requestMap)
     
     public static void installFaultTo(MAP map, MAPEndpoint epReference, InstanceIdentifier identifier)
     {
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         MAPEndpoint from = builder.newEndpoint(epReference.getAddress());
         InstanceIdentifier.setEndpointInstanceIdentifier(from, identifier);
         map.setFaultTo(from);
     }
 
     public static void installFromFaultTo(MAP map, MAPEndpoint epReference, InstanceIdentifier identifier)
     {
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         MAPEndpoint from = builder.newEndpoint(epReference.getAddress());
         InstanceIdentifier.setEndpointInstanceIdentifier(from, identifier);
         map.setFrom(from);
@@ -368,7 +368,7 @@ public static void configureRequestContext(Map<String, Object> requestContext, S
      */
     public static MAP inboundMap(MessageContext ctx)
     {
         return MAPBuilderFactory.getInstance().getBuilderInstance().inboundMap(ctx);
     }
 
     /**
@@ -377,15 +377,15 @@ public static MAP inboundMap(MessageContext ctx)
      * @return the outbound client message address properties
      */
     public static MAP outboundMap(Map<String, Object>  ctx) {
         return MAPBuilderFactory.getInstance().getBuilderInstance().outboundMap(ctx);
     }
 
     private static MAPEndpoint noneAddress = null;
 
     private static synchronized MAPEndpoint getNoneAddress()
     {
         if (noneAddress == null) {
             MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
             MAPConstants mapConstants = builder.newConstants();
             String noneURI = mapConstants.getNoneURI();
             noneAddress = builder.newEndpoint(noneURI);
",245,,,
412,"@@ -2,6 +2,8 @@
 
 import java.net.MalformedURLException;
 import java.net.URL;
 import java.util.List;
 import java.util.Map;
 
@@ -70,23 +72,23 @@ public NativeEndpointReference()
     * @throws NullPointerException
     *   If the <code>null</code> <code>source</code> value is given
     */
    public NativeEndpointReference(Source source)
    {
       try
       {
          NativeEndpointReference epr = jc.createUnmarshaller().unmarshal(source, NativeEndpointReference.class).getValue();
          this.address = epr.address;
          this.metadata = epr.metadata;
          this.referenceParameters = epr.referenceParameters;
       }
       catch (JAXBException e)
       {
          throw new WebServiceException(""Error unmarshalling NativeEndpointReference "", e);
       }
       catch (ClassCastException e)
       {
          throw new WebServiceException(""Source did not contain NativeEndpointReference"", e);
       }
    }
 
    @XmlTransient
@@ -202,14 +204,16 @@ public void writeTo(Result result)
 
    private static JAXBContext getJaxbContext()
    {
       try
       {
          return JAXBContext.newInstance(new Class[] { NativeEndpointReference.class });
       }
       catch (JAXBException ex)
       {
          throw new WebServiceException(""Cannot obtain JAXB context"", ex);
       }
    }
 
    private static class Address
",246,,,
413,"@@ -7,10 +7,11 @@
 import org.oasis_open.docs.ws_tx.wscoor._2006._06.RegistrationPortType;
 import org.oasis_open.docs.ws_tx.wscoor._2006._06.RegistrationService;
 
 import javax.xml.namespace.QName;
 import javax.xml.ws.BindingProvider;
 import javax.xml.ws.soap.AddressingFeature;
 import javax.xml.ws.wsaddressing.W3CEndpointReference;
 import java.util.Map;
 
 /**
@@ -81,10 +82,15 @@ public static ActivationPortType getActivationPort(MAP map,
 
     // don't think we ever need this as we get a registration port from the endpoint ref returned by
     // the activation port request
     public static RegistrationPortType getRegistrationPort(W3CEndpointReference endpointReference, String action, String messageID)
     {
         RegistrationService service = getRegistrationService();
         RegistrationPortType port = service.getPort(endpointReference, RegistrationPortType.class, new AddressingFeature(true, true));
         BindingProvider bindingProvider = (BindingProvider)port;
         /*
          * we no longer have to add the JaxWS WSAddressingClientHandler because we can specify the WSAddressing feature
",247,,,
414,"@@ -20,6 +20,7 @@
  */
 package com.arjuna.webservices11.wscoor.server;
 
 import com.arjuna.webservices11.wscoor.CoordinationConstants;
 import com.arjuna.webservices11.ServiceRegistry;
 import org.jboss.jbossts.xts.environment.WSCEnvironmentBean;
@@ -33,7 +34,7 @@ public class ActivationCoordinatorInitialisation
 {
     public static void startup()
     {
         final ServiceRegistry serviceRegistry = ServiceRegistry.getRegistry() ;
         WSCEnvironmentBean wscEnvironmentBean = XTSPropertyManager.getWSCEnvironmentBean();
         String bindAddress = wscEnvironmentBean.getBindAddress11();
         int bindPort = wscEnvironmentBean.getBindPort11();
",248,,,
415,"@@ -20,6 +20,7 @@
  */
 package com.arjuna.webservices11.wscoor.server;
 
 import com.arjuna.webservices11.wscoor.CoordinationConstants;
 import com.arjuna.webservices11.ServiceRegistry;
 import org.jboss.jbossts.xts.environment.WSCEnvironmentBean;
@@ -38,7 +39,7 @@ public class RegistrationCoordinatorInitialisation
     public static void startup()
     {
         // TODO work out how to configure the endpoint name here
         final ServiceRegistry serviceRegistry = ServiceRegistry.getRegistry() ;
         WSCEnvironmentBean wscEnvironmentBean = XTSPropertyManager.getWSCEnvironmentBean();
         String bindAddress = wscEnvironmentBean.getBindAddress11();
         int bindPort = wscEnvironmentBean.getBindPort11();
",249,,,
416,"@@ -24,15 +24,15 @@
 import com.arjuna.schemas.ws._2005._10.wsarjtx.TerminationCoordinatorPortType;
 import com.arjuna.webservices.SoapFault;
 import com.arjuna.webservices.wsarjtx.ArjunaTXConstants;
 import com.arjuna.webservices11.wsarj.InstanceIdentifier;
 import com.arjuna.webservices11.wsaddr.AddressingHelper;
 import com.arjuna.webservices11.wsaddr.NativeEndpointReference;
 import com.arjuna.webservices11.wsaddr.EndpointHelper;
 import org.jboss.ws.api.addressing.MAPEndpoint;
 import org.jboss.ws.api.addressing.MAP;
 import org.jboss.ws.api.addressing.MAPBuilder;
 import org.jboss.ws.api.addressing.MAPBuilderFactory;
 import com.arjuna.webservices11.SoapFault11;
 import com.arjuna.webservices11.ServiceRegistry;
 import com.arjuna.webservices11.wsarjtx.ArjunaTX11Constants;
 
@@ -79,14 +79,15 @@ public class TerminationCoordinatorClient
      */
     private TerminationCoordinatorClient()
     {
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         completeAction = ArjunaTXConstants.WSARJTX_ACTION_COMPLETE;
         closeAction = ArjunaTXConstants.WSARJTX_ACTION_CLOSE;
         cancelAction = ArjunaTXConstants.WSARJTX_ACTION_CANCEL;
         final String terminationParticipantURIString =
             ServiceRegistry.getRegistry().getServiceURI(ArjunaTX11Constants.TERMINATION_PARTICIPANT_SERVICE_NAME, false);
         final String secureTerminationParticipantURIString =
             ServiceRegistry.getRegistry().getServiceURI(ArjunaTX11Constants.TERMINATION_PARTICIPANT_SERVICE_NAME, true);
 
         terminationParticipant = builder.newEndpoint(terminationParticipantURIString);
         secureTerminationParticipant = builder.newEndpoint(secureTerminationParticipantURIString);
",250,,,
417,"@@ -21,21 +21,11 @@
 package com.arjuna.webservices11.wsarjtx.client;
 
 import com.arjuna.schemas.ws._2005._10.wsarjtx.NotificationType;
 import com.arjuna.schemas.ws._2005._10.wsarjtx.TerminationCoordinatorPortType;
 import com.arjuna.schemas.ws._2005._10.wsarjtx.TerminationCoordinatorRPCPortType;
 import com.arjuna.webservices.SoapFault;
 import com.arjuna.webservices.wsarjtx.ArjunaTXConstants;
 import com.arjuna.webservices11.ServiceRegistry;
 import com.arjuna.webservices11.SoapFault11;
 import com.arjuna.webservices11.wsaddr.AddressingHelper;
 import com.arjuna.webservices11.wsaddr.EndpointHelper;
 import com.arjuna.webservices11.wsaddr.NativeEndpointReference;
 import com.arjuna.webservices11.wsarj.InstanceIdentifier;
 import com.arjuna.webservices11.wsarjtx.ArjunaTX11Constants;
 import org.jboss.ws.api.addressing.MAP;
 import org.jboss.ws.api.addressing.MAPBuilder;
 import org.jboss.ws.api.addressing.MAPBuilderFactory;
 import org.jboss.ws.api.addressing.MAPEndpoint;
 
 import javax.xml.ws.soap.SOAPFaultException;
 import javax.xml.ws.wsaddressing.W3CEndpointReference;
@@ -70,7 +60,6 @@ public class TerminationCoordinatorRPCClient
      */
     private TerminationCoordinatorRPCClient()
     {
         MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         completeAction = ArjunaTXConstants.WSARJTX_ACTION_COMPLETE;
         closeAction = ArjunaTXConstants.WSARJTX_ACTION_CLOSE;
         cancelAction = ArjunaTXConstants.WSARJTX_ACTION_CANCEL;
",251,,,
418,"@@ -20,12 +20,13 @@
  */
 package com.arjuna.webservices11.wsarjtx.client;
 
 import com.arjuna.schemas.ws._2005._10.wsarjtx.ExceptionType;
 import com.arjuna.schemas.ws._2005._10.wsarjtx.NotificationType;
 import com.arjuna.schemas.ws._2005._10.wsarjtx.TerminationParticipantPortType;
 import com.arjuna.webservices.SoapFault;
 import com.arjuna.webservices.wsarjtx.ArjunaTXConstants;
 import com.arjuna.webservices11.SoapFault11;
 import com.arjuna.webservices11.wsarj.InstanceIdentifier;
 import com.arjuna.webservices11.wsaddr.AddressingHelper;
 import com.arjuna.webservices11.wsaddr.NativeEndpointReference;
@@ -39,7 +40,6 @@
 
 import org.jboss.ws.api.addressing.MAP;
 import org.jboss.ws.api.addressing.MAPBuilder;
 import org.jboss.ws.api.addressing.MAPBuilderFactory;
 import org.xmlsoap.schemas.soap.envelope.Fault;
 
 /**
@@ -89,17 +89,18 @@ public class TerminationParticipantClient
      */
     private TerminationParticipantClient()
     {
         final MAPBuilder builder = MAPBuilderFactory.getInstance().getBuilderInstance();
         completedAction = ArjunaTXConstants.WSARJTX_ACTION_COMPLETED;
         closedAction = ArjunaTXConstants.WSARJTX_ACTION_CLOSED;
         cancelledAction = ArjunaTXConstants.WSARJTX_ACTION_CANCELLED;
         faultedAction = ArjunaTXConstants.WSARJTX_ACTION_FAULTED;
         soapFaultAction = ArjunaTXConstants.WSARJTX_ACTION_SOAP_FAULT;
 
         final String terminationCoordinatorURIString =
             ServiceRegistry.getRegistry().getServiceURI(ArjunaTX11Constants.TERMINATION_COORDINATOR_SERVICE_NAME, false);
         final String secureTerminationCoordinatorURIString =
             ServiceRegistry.getRegistry().getServiceURI(ArjunaTX11Constants.TERMINATION_COORDINATOR_SERVICE_NAME, true);
         terminationCoordinator = builder.newEndpoint(terminationCoordinatorURIString);
         secureTerminationCoordinator = builder.newEndpoint(secureTerminationCoordinatorURIString);
     }
",252,,,
